,input_1,input_2,input_3,input_4,input_5,input_6,input_7,input_8,input_9,input_10,input_11,input_12,input_13,input_14,input_15,input_16,input_17,input_18,input_19,input_20,input_21,input_22,input_23,input_24,input_25,input_26,input_27,input_28,input_29,input_30,input_31,input_32,input_33,input_34,input_35,input_36,input_37,input_38,input_39,input_40,input_41,input_42,input_43,input_44,input_45,input_46,input_47,input_48,input_49,input_50,input_51,input_52,input_53,input_54,input_55,input_56,input_57,input_58,input_59,input_60,input_61,input_62,input_63,input_64,input_65,input_66,input_67,input_68,input_69,input_70,input_71,input_72,input_73,input_74,input_75,input_76,input_77,input_78,input_79,input_80,input_81,input_82,input_83,input_84,input_85,input_86,input_87,input_88,input_89,input_90,input_91,input_92,input_93,input_94,input_95,input_96,input_97,input_98,input_99,input_100,input_101,input_102,input_103,input_104,input_105,input_106,input_107,input_108,input_109,input_110,input_111,input_112,input_113,input_114,input_115,input_116,input_117,input_118,input_119,input_120,input_121,input_122,input_123,input_124,input_125,input_126
neuron_1,1.1589247e-34,-8.908826e-35,-2.8730167e-35,7.0829866e-35,3.1161903e-34,7.156739e-35,-8.1315344e-35,5.471058e-34,-5.0375553e-34,2.726353e-34,-1.929069e-34,2.2727233e-34,-1.2501612e-35,-3.5264684e-34,4.956901e-34,4.851883e-35,-9.743778e-35,5.447912e-34,-1.0394917e-35,-4.111509e-34,5.2640313e-35,-2.5087557e-34,2.772508e-34,5.2503363e-34,5.018065e-34,1.3153731e-34,-3.6711246e-34,2.2130607e-34,-1.5976862e-34,-1.3384591e-34,3.7514226e-36,-3.7184596e-34,-3.770147e-34,4.8944224e-34,1.2219043e-34,-5.765986e-34,8.7020194e-35,-1.4692274e-34,3.1032454e-34,3.2726516e-34,-1.080786e-34,3.074386e-34,3.037114e-34,-3.3633557e-35,-9.0797835e-35,-1.6498899e-34,-1.066808e-34,3.982655e-34,2.3986001e-34,4.7112e-34,-1.0589689e-35,1.9429354e-34,-2.0473842e-34,-1.8168953e-34,-1.4481386e-34,3.4467985e-35,1.8697009e-34,1.4796694e-34,-1.1333749e-34,3.228903e-34,-2.5608333e-34,-3.1692577e-34,-3.4458726e-34,-7.9344686e-35,3.866327e-34,4.9542647e-34,-2.5577134e-34,-6.7385305e-35,1.3502008e-34,4.266823e-34,2.3933997e-34,-1.2983735e-34,-1.4343571e-34,5.614483e-34,8.747969e-35,8.2627254e-35,5.1317014e-34,-4.6541054e-34,-4.8447963e-34,-2.4226943e-34,4.9838564e-34,-1.4699059e-34,-2.3827105e-34,5.6567484e-34,5.828035e-34,2.6273447e-34,-1.9865711e-35,5.2157823e-34,-5.117553e-34,1.0796647e-34,-1.9197033e-34,-6.597611e-36,5.846548e-34,-4.0607264e-34,1.739772e-34,-3.0588365e-34,-2.3801685e-34,2.0779925e-34,2.4214087e-35,2.3783607e-34,2.2546643e-34,3.2615018e-34,3.8855093e-34,-3.029991e-34,8.228317e-35,4.9001056e-34,-5.1891716e-34,5.5693526e-34,5.1445005e-34,1.2391054e-35,4.1062497e-34,2.5207402e-34,-3.9395172e-35,4.456841e-35,4.3606666e-34,-8.9448106e-35,-5.041043e-35,-4.578948e-34,-4.78316e-34,5.4248858e-34,1.3228701e-34,3.0084985e-34,4.7323828e-34,-2.6961432e-34,3.918746e-34,-9.694582e-35
neuron_2,-3.394403e-34,-3.3312043e-34,-5.6304857e-34,4.630547e-34,1.988919e-34,-1.4022086e-34,-1.2124977e-34,3.5644375e-35,1.1244044e-34,-1.2302083e-34,-1.0932111e-34,3.2341413e-34,-1.971804e-34,5.699086e-34,3.0568033e-34,1.819977e-34,1.8733407e-12,4.9291417e-35,-2.863082e-34,-1.964791e-34,-8.7306353e-35,-3.6757405e-34,-3.9332225e-34,-5.093833e-34,2.0771435e-34,-1.5465368e-34,1.2151025e-34,1.0598072e-34,1.613936e-35,-1.7383394e-34,1.613932e-35,-1.6975002e-34,2.1837322e-34,5.363824e-34,-2.3259534e-05,-5.7021027e-35,-5.516672e-34,-2.6001347e-34,-2.9914047e-34,1.5475412e-06,-4.3318142e-34,-2.0440419e-34,3.951943e-34,-1.0391352e-34,-5.08402e-34,4.369166e-34,2.060383e-34,-4.7457884e-34,-2.8502065e-35,-4.4642617e-34,-5.024298e-34,-5.497383e-34,-4.0834764e-34,5.355692e-34,1.2169379e-34,7.934026e-09,-3.2240357e-34,3.5515358e-34,4.8896377e-34,3.577903e-09,-2.7537278e-34,5.0643823e-34,-4.723096e-34,-2.1899184e-35,2.5213693e-34,-2.0368746e-34,-2.1673214e-34,4.0839516e-34,-1.882596e-34,-5.583363e-34,5.139217e-34,3.416251e-34,-4.2216263e-34,1.1683385e-34,5.372237e-34,-1.2741652e-09,3.0994058e-34,3.218195e-34,2.0375872e-34,5.6851756e-34,-3.1069785e-35,-4.8162245e-05,7.7320345e-35,-2.5351152e-34,4.7109846e-34,2.9635388e-34,-2.9284797e-34,4.95177e-37,2.0512303e-34,5.510519e-34,-2.77712e-34,5.2488266e-34,-1.7875825e-34,-1.795349e-34,2.0312588e-34,3.244337e-35,3.4333251e-34,-1.5052329e-34,-3.7907728e-34,1.9406163e-34,3.9890915e-34,2.7409296e-34,5.74625e-34,2.8941158e-06,2.8575533e-35,2.512656e-34,-3.901157e-34,2.86659e-35,1.7640781e-34,-1.0585988e-34,1.8877438e-34,-1.6301893e-34,-1.2822876e-34,3.8590304e-34,-4.345068e-34,-4.974178e-34,3.8604814e-12,-3.0158777e-34,-3.4246265e-34,3.5672842e-34,8.080486e-35,-1.9908067e-34,-3.372484e-34,1.3316781e-34,-5.0304473e-34,-2.0875825e-34
neuron_3,1.2048011e-34,-3.6890406e-34,-3.4356982e-34,3.1359774e-34,-2.9154177e-34,-1.1741579e-34,-2.895397e-34,-4.19853e-34,6.60821e-35,1.255711e-34,-2.2153224e-34,-1.6622912e-34,3.746899e-34,-3.512249e-34,-7.7001664e-07,5.0770887e-34,1.7443209e-34,-1.3519167e-07,6.01161e-35,2.308395e-34,6.696938e-35,-5.4031304e-34,7.641193e-35,-4.3885328e-34,2.7357868e-34,1.149864e-34,-3.0058238e-34,-5.786752e-34,-3.1717908e-35,-5.5519204e-34,-1.1022138e-35,-2.5313153e-34,-1.0036595e-34,-5.0120494e-34,4.2753483e-34,4.6912363e-34,-4.7849517e-34,5.6250343e-34,1.1357975e-34,-6.453023e-35,3.5592132e-34,1.0362337e-34,-8.070034e-35,-4.5952145e-34,1.9987984e-34,3.0172584e-35,-2.568831e-35,-5.244105e-34,3.9328717e-34,5.06551e-34,-3.1858615e-34,-7.93219e-35,-2.8583063e-34,-4.5302744e-34,-1.7982125e-34,8.016763e-06,2.6428786e-35,1.1350353e-34,5.049314e-34,5.469443e-34,3.2606363e-34,3.3013024e-34,2.4376656e-34,3.9762593e-34,4.476481e-34,-3.9705907e-13,4.6926882e-35,-3.81317e-34,3.7090862e-35,-1.7113435e-34,2.0478801e-34,3.407839e-34,-2.3749399e-34,2.4306587e-34,-1.8015333e-34,-4.679452e-34,-5.545072e-10,3.6314253e-34,1.8451294e-34,5.185577e-06,-1.3079579e-34,-4.1688613e-34,-3.43165e-34,-2.489506e-34,-4.9765215e-34,-5.2594703e-34,4.740034e-35,1.7102341e-34,-3.5175728e-15,-2.7147748e-34,5.0045496e-34,-1.7828576e-34,-4.1287393e-34,7.4582637e-35,-5.3380374e-34,-3.4469168e-35,-4.2123235e-11,7.1627394e-35,-4.4386235e-34,3.9017146e-34,3.1134584e-34,1.3813308e-34,3.776093e-35,3.7252738e-34,4.12863e-35,2.8003655e-34,2.5603663e-34,-9.724718e-35,7.8624994e-35,-5.5560843e-34,3.183146e-34,5.8273034e-34,-4.1295208e-35,-4.649323e-34,3.653363e-34,-3.915175e-34,-4.047675e-34,-2.4733014e-34,5.4172284e-14,-5.305077e-35,9.4448583e-35,-1.494299e-34,-4.1608423e-34,-9.4267495e-35,1.4552804e-34,6.8642074e-35
neuron_4,5.4545124e-34,-4.6783523e-34,-4.9867115e-34,-3.8075008e-34,5.8210274e-34,-4.7546e-34,-2.2460414e-34,-3.224496e-34,-1.7674565e-34,1.5451331e-34,2.4937575e-34,-4.687011e-34,4.1169747e-34,-1.1294533e-34,-5.8445924e-34,-2.4628182e-34,3.0099777e-34,5.3443263e-34,4.171742e-37,-4.140659e-34,1.4384484e-35,1.5079613e-34,4.220053e-34,-3.3566815e-34,2.878817e-34,2.1677236e-34,-3.9794075e-34,4.8907604e-34,-4.24041e-34,-9.016248e-36,-3.903456e-34,-3.8424226e-34,-2.6517897e-34,-1.3803417e-34,-2.3775122e-34,-1.1181495e-34,5.678811e-34,-2.8175723e-34,-4.8644647e-34,1.6326496e-34,4.2868663e-34,1.0706083e-35,1.5330879e-35,2.7726466e-34,-2.2906484e-34,-1.0770048e-35,-3.2880818e-34,-2.5882129e-34,-3.2165938e-34,4.0354e-34,-4.707361e-34,3.6279452e-34,-3.1079419e-34,3.3623547e-35,5.5933327e-34,-2.3902135e-34,-5.756925e-34,9.201917e-35,-4.9584556e-34,2.6324943e-35,3.3471722e-34,4.1437645e-34,2.3837097e-34,4.5925758e-35,5.1792795e-34,5.920179e-34,2.8011994e-34,2.7881112e-34,1.3372665e-34,-4.7993368e-35,-9.0574747e-07,2.825521e-34,4.2770876e-34,-1.3527856e-35,5.0782495e-34,4.884638e-34,-2.6885448e-34,-5.4031965e-34,5.2003016e-34,-1.234382e-34,2.9117803e-34,2.5177767e-34,-1.0617859e-34,3.3329306e-35,3.1276746e-34,-3.093879e-34,4.730373e-35,-1.0518085e-34,1.5775134e-34,5.0265847e-34,-1.621644e-34,-3.8611963e-34,4.343954e-34,9.1068394e-35,-2.338499e-34,7.227065e-35,2.4062627e-34,-2.7127556e-34,5.182736e-34,-4.9493455e-34,5.600709e-34,-2.5714986e-34,1.5771455e-36,-9.3509106e-35,2.5606987e-34,5.745118e-34,-1.8368679e-34,3.557707e-35,-1.5143035e-34,-3.0301136e-34,-1.3976787e-34,-1.3355433e-34,-1.5750937e-34,6.2254e-35,5.248977e-35,-4.8613763e-34,1.689876e-34,-8.969538e-06,-1.9824786e-34,-1.6264957e-34,1.2812591e-34,-1.2287545e-34,1.2032458e-34,-3.2841028e-35,-6.741171e-35,-9.245705e-35
neuron_5,-2.5418132e-34,4.965429e-34,3.2916083e-34,-4.0859596e-34,-3.4089782e-34,5.268217e-34,1.6273982e-34,3.8988282e-34,3.93381e-34,1.8411297e-34,7.863954e-35,3.7382842e-34,2.0572368e-35,-3.2142495e-34,-2.7544404e-34,-3.8728167e-34,-4.895768e-34,6.729161e-35,-4.9384336e-34,-4.1034997e-34,3.2626392e-34,-4.756461e-34,-5.675747e-34,-2.8791964e-34,-5.425304e-34,3.2204364e-34,4.8735775e-34,-1.3039171e-35,5.8951005e-34,-2.5059565e-34,-2.833985e-34,3.1059793e-34,8.013343e-35,5.2519517e-34,-2.9127538e-34,4.5644707e-34,-5.522713e-34,2.4120997e-34,4.833671e-34,-3.7534354e-34,-3.68057e-34,2.8325637e-35,-5.4620314e-34,4.307016e-34,-4.4747713e-34,-1.5487781e-34,-3.5583346e-34,-3.5915632e-34,1.9362013e-34,3.605093e-34,1.9609872e-34,-3.3800807e-34,2.5109643e-34,5.4617876e-34,-4.6610904e-34,2.04255e-35,3.1951254e-34,-1.942341e-34,-5.2429114e-36,-5.8107624e-35,-3.6694257e-34,-3.864988e-34,-3.4063177e-34,1.9317326e-34,4.9230107e-34,-1.8327426e-34,4.561045e-34,4.4174775e-34,-1.545906e-35,-1.1794033e-34,2.721556e-34,-1.9822086e-34,-4.921979e-34,-5.4788038e-34,-4.1486502e-35,8.513518e-36,1.7899308e-34,4.676491e-34,9.191002e-35,5.761481e-34,4.6770046e-34,1.5070159e-34,2.5802395e-34,3.5476768e-34,-3.0703361e-34,3.0764933e-34,-3.9219267e-35,-1.0034011e-34,-1.5448861e-34,5.5528296e-34,2.1968759e-34,-4.588655e-34,1.2868573e-34,4.2666496e-34,-3.161445e-35,3.3933225e-34,4.0680296e-34,9.783222e-35,4.8486424e-34,7.898082e-35,1.6351012e-34,3.3048693e-34,-4.7928257e-36,4.787155e-36,-2.091321e-34,2.979486e-34,5.080189e-34,-1.7024391e-34,-5.190077e-34,-1.7417314e-34,5.031693e-34,2.3120068e-34,1.1067771e-34,-4.6310965e-34,1.4212962e-34,2.380714e-34,-5.042679e-34,6.6403423e-35,-7.541347e-36,-5.427432e-36,4.4189484e-35,2.945534e-34,-4.952444e-34,-2.9566144e-34,3.4663418e-34,-2.0517705e-34
neuron_6,-4.3034747e-34,-4.334243e-34,3.6009915e-34,-3.3556736e-34,-4.718102e-34,-1.8183607e-34,1.5167562e-35,-5.578677e-34,-4.1625256e-34,-2.0607872e-34,-1.9819753e-34,2.6923047e-34,-4.7501626e-34,-1.6813987e-34,2.1261502e-35,4.6372462e-34,-2.876373e-34,3.3895655e-34,4.6591113e-34,1.0050993e-34,-2.8372329e-34,-3.8975067e-34,-4.1051266e-34,-1.1798432e-34,-3.1527475e-34,-5.8315985e-34,-1.8884784e-34,-3.2201795e-35,-5.4004196e-35,2.8184543e-34,3.2741985e-34,1.5966486e-34,4.064895e-34,-3.6769964e-34,5.2813372e-34,-3.80882e-34,-2.518537e-34,1.5102011e-34,-4.086469e-34,6.6392105e-35,-5.7202586e-34,-2.2812002e-34,4.6118303e-34,-8.5411666e-35,-2.302185e-34,3.7719612e-34,4.437144e-34,5.329883e-34,-4.423296e-34,-4.7610873e-34,-1.4926525e-34,-2.0092991e-34,1.4397776e-34,4.2051015e-34,1.1235442e-34,-2.1063688e-34,5.531505e-34,3.7268442e-34,-2.7620972e-35,3.9583197e-34,-4.492294e-35,2.3175282e-34,-3.0428427e-34,2.90807e-34,2.690926e-34,-5.5483627e-34,-1.6874684e-34,3.5069593e-34,-5.4865547e-34,5.3622305e-34,1.8088878e-35,4.740709e-34,-4.6650683e-34,2.6937872e-34,-4.2646127e-34,-1.8887404e-34,4.306246e-34,1.4222885e-34,4.4048225e-34,1.7797216e-34,-5.900074e-34,3.160199e-34,-4.5283114e-34,4.9032923e-35,5.384035e-34,-5.4340027e-34,4.9820297e-36,-4.7770245e-34,2.8613718e-34,-3.8219087e-34,-2.5229888e-34,7.147336e-35,4.741267e-34,-2.2692423e-34,3.1018178e-34,-2.7308348e-34,-4.264843e-34,2.5814793e-34,2.8609182e-34,-1.9071477e-34,2.8638243e-34,-3.6248058e-34,-2.4446724e-34,4.985234e-34,-1.427394e-34,-3.8745956e-34,6.6134185e-35,-1.027e-34,1.7169762e-34,-6.315357e-35,3.6032167e-34,2.3256568e-34,-1.2309249e-34,1.3286521e-34,-2.4253578e-34,-1.3892593e-34,-5.918187e-34,-2.6214993e-34,-2.8897763e-34,5.7429957e-34,3.7500887e-34,-2.1599045e-34,-3.228479e-34,-5.0891967e-34,-5.747994e-34,5.1570843e-34
neuron_7,2.0347679e-34,4.601874e-34,-3.920619e-34,4.9285966e-34,-3.615486e-34,4.562227e-34,3.2745062e-34,2.5078906e-34,2.9053796e-34,3.6853223e-35,2.4137927e-35,2.9643047e-34,-3.505984e-34,-7.940469e-35,-3.8957894e-34,5.7329525e-35,-1.0920269e-34,-8.072331e-35,1.4077567e-34,-3.6370695e-34,1.5088544e-34,1.4301216e-34,3.2605275e-34,3.4661196e-34,-4.8977633e-34,-2.4062222e-34,-2.2414648e-34,3.1086416e-34,2.0583873e-34,5.917512e-34,1.8226752e-34,9.805028e-35,-3.07379e-34,4.324489e-34,-1.3609231e-34,3.7128724e-35,-4.841619e-34,-3.97797e-34,-3.3418887e-34,5.5731657e-35,-4.0164814e-34,-5.589353e-34,1.1747227e-34,4.429243e-34,-3.0761583e-34,1.4766932e-34,3.2762052e-34,8.899429e-35,-9.6033113e-35,2.0168958e-34,-8.560152e-35,-2.2025274e-35,-1.8197879e-34,2.5030169e-34,-4.2761582e-34,-3.5397882e-34,2.1280856e-34,-1.7734904e-34,-5.4636224e-34,8.750729e-36,-4.0292686e-35,4.5822404e-34,-1.9514203e-34,6.2651737e-35,-5.376601e-34,-1.947515e-34,-1.2333475e-34,-2.4065547e-34,-4.2657345e-34,2.2245276e-34,-5.138659e-34,2.3221597e-34,-3.4277734e-34,1.5505424e-34,2.108543e-34,-8.173947e-35,2.4456362e-34,-5.5525578e-34,-1.9903195e-34,-3.404048e-34,-5.1533893e-34,-4.1760686e-34,-4.7198073e-34,3.7334242e-34,4.822539e-34,-1.9945274e-34,2.7577391e-34,5.810777e-34,1.7694349e-34,3.295873e-34,-2.0808087e-35,-5.5720636e-34,-4.283056e-34,-2.7860566e-34,4.582077e-35,1.6337774e-34,2.3223875e-34,-3.4843935e-34,-4.2629376e-34,4.5267553e-35,-3.4264338e-34,-2.5554972e-34,-2.0921802e-35,4.252292e-34,3.320789e-34,5.8475113e-34,-3.3841307e-34,2.9397204e-34,5.587079e-35,-3.6462806e-34,3.5863277e-34,-2.2936315e-34,8.1760775e-35,-2.7892796e-34,5.5604556e-34,2.6296378e-34,5.782514e-34,-2.7176208e-34,1.9918752e-34,-1.8138268e-34,-3.1174856e-34,2.840543e-34,-6.393523e-35,-4.5458644e-34,-5.8838415e-34,4.9428114e-34
neuron_8,-3.514032e-34,2.5158702e-35,1.08846265e-10,-4.336293e-34,8.574134e-35,-2.9777044e-34,-5.8960556e-34,5.308949e-34,-3.1341042e-34,7.460716e-36,-1.8410744e-35,-2.958363e-34,6.593288e-35,2.6668367e-34,-2.5221122e-34,-1.1623104e-34,2.7693733e-34,2.5059841e-12,3.6486004e-34,3.2985712e-34,3.1809906e-34,1.1680006e-34,3.3756982e-13,3.6253706e-34,-6.4452295e-13,-2.521191e-34,1.986259e-34,3.0277438e-34,1.7001197e-34,3.392778e-34,1.6996016e-34,3.3725236e-34,-5.453466e-34,-1.5709689e-34,2.3744251e-35,1.835894e-07,-5.848022e-34,-1.1596105e-34,-1.3617172e-35,-1.953175e-09,-2.6422096e-09,1.3706765e-34,-1.9944654e-34,4.743047e-34,4.598525e-34,-2.4986014e-34,2.4060624e-34,-1.6481579e-35,-5.114745e-34,3.250803e-34,-1.9060641e-34,-2.2755409e-11,2.9357384e-34,9.280087e-35,5.3772107e-34,2.5055368e-34,2.4142744e-34,-1.5794654e-09,2.8758484e-10,-6.146456e-08,2.9832577e-35,1.0898879e-12,3.7213561e-34,-9.691672e-35,-1.5545178e-34,-5.6077105e-34,3.112114e-34,1.3643559e-34,3.6701156e-34,-1.5142121e-34,4.9426524e-07,7.4746747e-35,-4.6763443e-34,2.7574893e-34,2.1672736e-34,9.612108e-07,6.106354e-13,1.7262523e-09,-2.567985e-34,5.907961e-34,1.6146297e-34,4.691339e-34,-4.5451416e-12,5.883697e-10,2.7095145e-35,-2.4810652e-07,-3.430695e-34,-5.1659744e-34,-1.3468833e-34,5.291958e-34,-5.0457654e-34,-2.7859657e-34,-1.4808244e-34,-1.6447875e-34,-3.4021848e-11,5.1562325e-34,-3.629324e-34,5.1782675e-34,-5.744641e-35,3.2715844e-35,-1.0105125e-05,-8.3648545e-35,-5.3959475e-34,-3.909753e-34,3.163934e-34,1.9424694e-11,-5.3389043e-34,-1.0907103e-14,2.1149435e-34,4.9082326e-34,-3.5230851e-34,-9.560094e-10,4.2786396e-34,4.1927386e-34,-9.283173e-35,4.782925e-34,2.9598654e-34,-4.7369043e-34,3.08225e-12,-1.1014414e-34,4.366246e-34,2.3857948e-34,-5.4576366e-34,5.16474e-34,-2.4564305e-34,-1.5916708e-34
neuron_9,-5.5419416e-35,1.6797373e-34,-2.5463325e-09,1.1904337e-35,-3.3370159e-34,4.6751798e-35,-2.3404274e-34,-4.244446e-34,-5.732649e-34,1.9058359e-34,5.644081e-35,3.6535834e-35,2.524084e-12,-1.9035809e-34,-8.257313e-35,-4.753464e-34,-3.638048e-08,-4.540256e-11,3.1108062e-34,2.1090279e-34,-1.4649558e-08,5.013536e-35,-4.906224e-34,3.7073737e-34,6.254786e-07,5.463683e-34,-2.1296968e-34,1.0768208e-06,-2.1117706e-34,5.372711e-34,-2.1348194e-34,-2.9669041e-34,3.04013e-34,-2.1411772e-34,1.1925027e-34,-1.1518853e-13,-3.3186823e-34,-1.6430325e-34,8.68047e-35,-3.461963e-34,-4.2786217e-34,-1.9009401e-34,-2.1411965e-34,3.3442736e-34,-3.8479808e-35,4.8772264e-11,-1.30945e-34,-3.6538111e-34,-5.162536e-34,2.0277888e-34,5.2554596e-09,-1.5602805e-34,7.2983506e-35,7.9719054e-10,-3.1279726e-13,-2.53488e-34,-1.1313986e-34,7.690368e-08,1.8388568e-13,-3.0721692e-34,-4.1661173e-35,2.1296827e-08,4.0303596e-34,4.655134e-34,-3.9549507e-35,-4.4830563e-34,1.6702382e-06,6.9955656e-12,-3.1115434e-34,2.2542417e-07,6.9155527e-35,-2.1324814e-10,-2.4615816e-34,3.8497183e-34,-3.282673e-10,2.9788735e-34,4.2143383e-34,-5.1235047e-13,-1.0832474e-34,1.2218823e-34,6.2402813e-12,3.093467e-13,-2.704166e-34,4.7789708e-08,2.901414e-34,-9.986025e-10,-5.4660113e-06,-5.174269e-11,-5.17932e-35,-1.0721079e-08,-9.69244e-07,1.3106808e-34,-2.2576065e-34,1.7366352e-34,-4.4786036e-34,-2.7714336e-34,-2.7869134e-34,2.8401358e-34,2.1493345e-34,3.4974695e-34,3.1570247e-34,3.3490481e-34,4.6492822e-35,-1.8134413e-07,-3.1309489e-15,2.4168793e-34,2.4055757e-34,2.5874982e-34,-5.1588112e-34,-4.3813246e-35,3.307558e-34,-2.8190852e-34,4.352046e-34,5.482059e-34,-4.8956103e-11,-2.6355465e-34,-5.80952e-05,-7.094016e-08,-2.7560934e-34,1.0535956e-34,-1.4502795e-34,8.6994663e-35,-4.7496657e-34,-4.2431163e-34,1.6095982e-34,3.164012e-34
neuron_10,0.08372893,0.0037642345,1.1402053e-06,-0.0344808,0.07866179,0.053711105,0.037583213,-0.07650108,0.0386072,0.03730082,0.034723736,0.012296218,0.03434186,0.009175981,0.004623549,-0.005073985,0.015437065,0.016899347,-0.018838217,0.016484575,-0.039817333,-0.0044365353,0.0041285856,-0.011627389,0.00046484199,0.00044776572,0.011510986,-0.015711453,-0.0012851614,5.3717594e-34,0.0069060465,-0.0033784644,0.030001007,-0.034455426,-0.012422809,0.0031916716,0.015615116,-0.00055752957,4.4290786e-34,0.0023513956,-9.1952816e-35,0.015073118,0.00027387717,-0.01645057,0.032539178,-0.02216931,-0.0005695855,0.016976938,-0.03959334,-0.01550839,0.00033510744,-5.9296042e-33,0.001338814,0.0006294821,0.0019128927,0.00086701085,0.0028955531,0.0027272445,0.0039887587,0.016174057,-0.016324988,0.0035616115,0.017387733,0.015926078,0.0011507645,0.00062781933,-0.015630824,-0.0074885217,0.0019401384,0.0074865785,4.0722196e-22,0.00034671344,-0.06278783,2.646692e-32,0.0016282019,-1.4964344e-21,0.006134892,0.00057215727,0.0024014653,0.00884811,0.00075382437,0.0015928805,0.010400934,0.00079616613,0.009875918,0.00032809703,0.0002712522,0.00036778694,0.0007297901,0.0018572541,0.0016838727,-1.5901504e-08,-0.05158207,1.3548396e-05,3.907722e-06,0.00016048201,0.0005585228,0.07495434,-0.0067362897,0.00022205415,0.00014915554,0.008364972,-0.00044005972,-0.00078361336,0.0033613709,0.00027882523,0.00033013802,0.0011368062,0.0046091676,-0.006828342,-0.0015284944,0.007944686,-0.008242477,-0.008953858,0.0024833027,0.00081040774,0.0003606491,0.0137601085,0.0015139361,0.07254635,0.062116783,0.002235712,0.01564995,-0.02186662,0.0004315138,0.04412673
neuron_11,3.2321836e-34,3.6399304e-34,1.7709914e-34,-5.624597e-34,-5.3009556e-34,-2.727347e-34,1.473425e-34,3.4351655e-34,2.3282436e-35,-5.1019743e-34,-2.4148878e-34,-2.4985e-34,5.1994282e-34,-1.9195364e-35,2.3234482e-34,4.3754843e-34,-3.0847387e-34,-8.9063304e-35,1.3276611e-34,-2.6379775e-35,3.8650943e-35,-4.388034e-34,2.672151e-34,-2.0573904e-34,-5.6204573e-34,1.8507948e-34,-2.8888064e-35,-4.747955e-34,4.2457084e-34,1.4432772e-35,-3.8042019e-34,-1.7459585e-34,-5.435023e-34,1.2248809e-35,4.2883962e-36,4.5131636e-35,4.128888e-34,-9.741549e-35,-1.3157034e-34,4.3178194e-34,-5.0455565e-34,4.233961e-34,2.2933514e-34,5.794798e-34,5.6311786e-34,1.6097078e-34,-2.043368e-34,-1.3713999e-34,6.570985e-35,-3.9572563e-34,-5.1367207e-34,3.3981967e-34,3.1854184e-34,4.659989e-35,4.271616e-34,2.2819183e-34,-2.7572405e-34,4.967384e-34,-1.0781161e-34,3.7010063e-34,-5.183811e-34,4.2744786e-34,-1.4168137e-34,-2.0126259e-34,1.0728775e-34,-3.7864032e-34,-3.6049326e-34,1.998023e-34,1.0890976e-34,-1.2583652e-34,-5.9091e-34,4.4838457e-35,-2.0869421e-34,1.1440307e-34,2.395652e-34,-1.98566e-34,4.624726e-34,4.1422396e-34,-5.4776875e-34,2.1587589e-34,-4.6056388e-34,5.337646e-34,1.7705066e-34,8.445664e-35,-3.3491395e-34,3.2213467e-35,-2.582564e-34,2.5883146e-34,-3.1916012e-34,-2.8180307e-35,3.6431334e-34,8.388943e-35,-2.6059674e-34,-1.7336592e-34,-2.116517e-34,1.9704167e-34,9.6263804e-36,-3.6369081e-34,-1.6520287e-35,-4.612386e-35,1.4397427e-34,-4.9884748e-34,-1.885798e-34,-1.2150989e-34,-4.6449926e-34,2.4998618e-34,-2.2851149e-34,-8.4883687e-35,2.2388484e-35,2.978556e-34,3.5626897e-34,-4.5692e-34,-1.538206e-34,3.2550867e-34,-3.2822172e-34,1.1893294e-34,3.597898e-34,1.5248173e-34,5.4508734e-34,-4.560932e-34,-5.814802e-34,-5.4987224e-34,1.5265792e-35,-4.4065446e-35,-1.0117806e-34,7.8230986e-35
neuron_12,0.016145801,-0.034612194,-2.3257796e-06,-0.042276293,-0.08087683,-0.008568953,0.0779586,-0.016274605,0.05051962,-0.016184757,0.04493688,-0.03166145,0.040450677,-0.0007257752,-1.0646817e-07,-0.010023811,-0.0062827156,0.00010406837,-0.021479303,0.035473716,-0.02339987,-0.010311049,0.001436966,-0.009556846,0.0004860881,0.0020061582,-0.0011631688,-0.0026454793,-0.0019290758,2.5670087e-36,0.0065597696,-0.0044192607,-0.0030272542,0.0014240377,8.190175e-05,2.3281206e-07,0.0045931423,0.00030724134,-4.4323478e-35,4.9683793e-05,-3.7054917e-05,-0.006575808,-0.027327344,0.030498452,-0.032836214,-0.0018596407,-0.025957676,0.022457968,-0.007405231,-1.0835935e-11,0.0005163081,-2.717214e-34,-0.014426225,9.1992304e-05,0.00018787998,0.0003180664,0.00055979483,2.7572038e-05,2.4237524e-05,0.0001933995,-0.018112078,0.0001643968,0.0017432873,0.0006273679,0.003426884,6.945371e-05,-0.03886515,-0.0027090732,0.0509579,-0.000103883416,-4.694212e-34,-0.00030618953,-0.022399548,5.0730605e-06,0.0008401115,-2.1868015e-34,0.005297652,0.00029381158,0.0012199897,-0.001216165,0.00011035115,-0.00052615005,0.00028460124,0.000116511255,0.00013346196,0.0005106125,0.00018489851,0.00012370292,0.000118783355,0.00022422828,-0.00010233449,-0.0098489355,0.0152077805,4.8772707e-34,1.0935858e-05,-3.0449733e-06,3.1641164e-05,0.03561028,2.1728514e-35,-0.00018841762,0.0008582946,6.5591526e-06,0.0058932314,0.0011269185,-0.0006529239,-0.00019590514,-0.00022431997,7.836365e-05,-0.020877594,-0.0030872358,0.0023277295,-0.0030559069,1.4962978e-34,-0.0028256876,0.0002556476,8.144819e-05,0.00037112978,0.0007200362,-0.00089633086,0.006385588,0.06836897,-0.023973739,0.033683624,-3.747225e-06,5.657306e-11,0.029967163
